,country,continent,region,country_lower
255,Russian Federation,Asia,West Asia,russian federation
256,Rwanda,Africa,East Africa,rwanda
257,Saudi Arabia,Asia,West Asia,saudi arabia
258,Solomon Islands,Oceania,Oceania (excl. Australia and New Zealand),solomon islands
259,Seychelles,Africa,East Africa,seychelles
260,Sudan,Africa,North Africa,sudan
261,Sweden,Europe,Western Europe,sweden
262,Singapore,Asia,South-East Asia,singapore
263,Saint Helena,Africa,West Africa,saint helena
264,Slovenia,Europe,Eastern Europe,slovenia
265,Slovakia,Europe,Eastern Europe,slovakia
266,Sierra Leone,Africa,West Africa,sierra leone
267,San Marino,Europe,Western Europe,san marino
268,Senegal,Africa,West Africa,senegal
269,Somalia,Africa,East Africa,somalia
270,Suriname,Americas,South America,suriname
271,South Sudan,Africa,North Africa,south sudan
272,Sao Tome and Principe,Africa,Middle Africa,sao tome and principe
273,USSR,Asia,West Asia,ussr
274,El Salvador,Americas,Central America,el salvador
275,,,,
276,Sint Maarten (Dutch part),Americas,Caribbean,sint maarten (dutch part)
277,Syrian Arab Republic,Asia,West Asia,syrian arab republic
278,Swaziland,Africa,South Africa,swaziland
279,Turks and Caicos Islands,Americas,Caribbean,turks and caicos islands
280,Chad,Africa,Middle Africa,chad
281,Togo,Africa,West Africa,togo
282,Thailand,Asia,South-East Asia,thailand
283,Tajikistan,Asia,Central Asia,tajikistan
284,Tokelau,Oceania,Oceania (excl. Australia and New Zealand),tokelau
285,Timor-Leste,Asia,South-East Asia,timor-leste
286,Turkmenistan,Asia,Central Asia,turkmenistan
287,Tunisia,Africa,North Africa,tunisia
288,Tonga,Oceania,Oceania (excl. Australia and New Zealand),tonga
289,Turkey,Asia,West Asia,turkey
290,Trinidad and Tobago,Americas,Caribbean,trinidad and tobago
291,Tuvalu,Oceania,Oceania (excl. Australia and New Zealand),tuvalu
292,Taiwan,Asia,East Asia,taiwan
293,Tanzania,Africa,East Africa,tanzania
294,Ukraine,Asia,West Asia,ukraine
295,Uganda,Africa,East Africa,uganda
296,USA,Americas,North America,usa
297,Alaska,,,alaska
298,Alabama,,,alabama
299,Arkansas,,,arkansas
300,Arizona,,,arizona
301,California,,,california
302,Colorado,,,colorado
303,Connecticut,,,connecticut
304,District of Columbia,,,district of columbia
305,Delaware,,,delaware
306,Florida,,,florida
307,Georgia,,,georgia
308,Hawaii,,,hawaii
309,Iowa,,,iowa
310,Idaho,,,idaho
311,Illinois,,,illinois
312,Indiana,,,indiana
313,Kansas,,,kansas
314,Kentucky,,,kentucky
315,Louisiana,,,louisiana
316,Massachusetts,,,massachusetts
317,Maryland,,,maryland
318,Maine,,,maine
319,Michigan,,,michigan
320,Minnesota,,,minnesota
321,Missouri,,,missouri
322,Mississippi,,,mississippi
323,Montana,,,montana
324,North Carolina,,,north carolina
325,North Dakota,,,north dakota
326,Nebraska,,,nebraska
327,New Hampshire,,,new hampshire
328,New Jersey,,,new jersey
329,New Mexico,,,new mexico
330,Nevada,,,nevada
331,New York,,,new york
332,Ohio,,,ohio
333,Oklahoma,,,oklahoma
334,Oregon,,,oregon
335,Pennsylvania,,,pennsylvania
336,Rhode Island,,,rhode island
337,South Carolina,,,south carolina
338,South Dakota,,,south dakota
339,Tennessee,,,tennessee
340,Texas,,,texas
341,Utah,,,utah
342,Virginia,,,virginia
