"code","iso","country","PMD.raw.1990","PMD.raw.1991","PMD.raw.1992","PMD.raw.1993","PMD.raw.1994","PMD.raw.1995","PMD.raw.1996","PMD.raw.1997","PMD.raw.1998","PMD.raw.1999","PMD.raw.2000","PMD.raw.2001","PMD.raw.2002","PMD.raw.2003","PMD.raw.2004","PMD.raw.2005","PMD.raw.2006","PMD.raw.2007","PMD.raw.2008","PMD.raw.2009","PMD.raw.2010","PMD.raw.2011","PMD.raw.2012","PMD.raw.2013","PMD.raw.2014","PMD.raw.2015","PMD.raw.2016","PMD.raw.2017","PMD.raw.2018","PMD.raw.2019"
184,"COK","Cook Islands",522.113514666357,505.189969119742,489.310122345298,474.192769212525,462.851613944037,453.904904752967,446.134707823789,440.55198822385,435.331372883134,431.50509004656,426.090485234067,416.014991836886,410.416291952487,404.717166635514,398.339293756278,390.068912367672,375.583543366091,361.706894328027,346.520982735417,335.688513954099,332.918013310914,333.692375621529,333.786735888649,333.880211552377,335.377845959676,339.219554592673,354.968631019298,367.433130540721,365.681297737323,361.042522726859
188,"CRI","Costa Rica",528.129469984161,528.178167182866,534.753262192694,532.908153529775,556.931766151727,577.52222685068,561.494605549244,582.431855814627,597.434282595158,620.637049411729,602.851442938777,610.234844723405,589.58375832073,587.613361663297,584.28122048164,546.099388608573,562.682713238087,516.299386746734,520.293234906904,509.834368557714,559.139201853449,538.393270616136,536.333588159779,538.713476970738,538.662467243027,547.47127976218,550.329530051383,532.764295732235,531.449144162132,527.798157701338
384,"CIV","Cote d'Ivoire",1138.49931617592,1138.37731870141,1153.22318216613,1179.30652958962,1210.62392845813,1239.48006256358,1281.28852597521,1357.95910949445,1452.82664591419,1526.23626941821,1564.31519867513,1560.89767523399,1556.47770931861,1545.33474944405,1534.49273789921,1510.75048930697,1495.37151193529,1457.05748448756,1420.85420001191,1395.85277965841,1376.36834459651,1408.4984333715,1522.15555155826,1670.53011519334,1761.28891422732,1780.46586649485,1661.83480546679,1569.07952022425,1571.31763791763,1594.37823763158
191,"HRV","Croatia",1770.21531909382,1718.77803783511,1704.49705231572,1684.59719939576,1651.90268917811,1631.2039853013,1627.51458933097,1625.05814729281,1560.07147570041,1506.8855706189,1426.78396913278,1386.41645924345,1364.32257313084,1355.48536079667,1283.55794676488,1277.12491179424,1218.20962172158,1200.96035019171,1174.12067300296,1098.3141115681,1045.3050158484,1002.77455374707,968.540404838007,911.571074599269,892.417501367605,897.24596587604,808.820762177452,777.934424150945,771.512006142133,776.528319333466
192,"CUB","Cuba",1146.49878172304,1117.05055658304,1113.56704101758,1112.8668882862,1107.96930823595,1089.0727059354,1066.28406551972,1058.96077589306,1067.99431628222,1060.06868144775,1023.15448386945,998.875219988944,927.41726515914,912.074908936503,890.970323370983,885.382489853865,828.950776133917,814.113067572956,803.197310746226,791.936756374354,785.753083497101,751.213198447767,782.288125544427,806.353157896685,829.714169267591,858.459924587854,824.421240555983,808.269924603394,789.199191169294,759.677398427285
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",1107.19155456454,1149.2352071011,1180.21028548117,1190.24024143828,1172.437537123,1149.81058342299,1114.64396664829,1088.76606048927,1069.56364942761,1040.39168645809,994.906341381741,947.178565205176,911.501045888835,877.214512533383,853.923589312426,836.921337447644,823.007432692519,810.981184624379,782.618053860301,758.210744867254,726.718858937276,688.331671510842,655.031895298181,627.551808200371,604.399031990786,579.8648316793,528.028428110065,491.535660431547,490.741601358752,502.876724725055
203,"CZE","Czech Republic",2230.54423025352,2111.04798513171,2034.51475389712,1915.69877081149,1848.22691896547,1801.85422553314,1677.79520701522,1602.48010269298,1463.21834677375,1377.70679734202,1320.35762876527,1274.9661283374,1225.81044185113,1216.58071890966,1150.47728598505,1112.31940000088,1054.26031761863,1030.00200301448,1011.41656088649,985.244578931163,960.194281291205,932.630660423237,890.187421469814,845.053292871643,789.154379520685,762.911078639007,728.671981922385,709.718997147205,712.155861459851,707.555164860947
180,"COD","Dem. Rep. Congo",763.229256471274,768.729683206454,768.432214863334,763.995817032745,763.349358941803,761.557688570834,761.719654273077,737.555638994806,721.649467318911,703.316370294692,690.182476285784,667.817776789891,633.041885666161,608.647770147063,577.343021299485,557.440786654195,552.071989267093,550.767829525209,556.938950176307,562.964040997008,569.745278223944,600.72414237898,663.391796375967,728.028261446728,777.072049573019,788.297699834349,769.154067311089,755.022409199758,775.12561135725,805.677045803921
208,"DNK","Denmark",996.87910402719,947.297683548371,911.579345697223,877.895040494783,843.83163732793,807.950805923785,769.981877117594,729.795899454113,690.663398482191,675.858847291807,632.996464912432,609.43394290154,583.628877087299,550.486544555868,517.557121797686,488.544153545325,476.414201763985,469.578836765125,456.184699356009,446.321844538736,431.924859878722,400.407703920247,360.068602855665,320.270133345996,286.903452139697,269.640746709881,270.159089422868,270.873419895254,263.986154790115,249.536630869727
262,"DJI","Djibouti",942.172604792604,998.715509693711,1031.92063061674,1070.71370179325,1105.1273413328,1170.73555128315,1216.65809071007,1274.19581069005,1375.54314006741,1468.11881267214,1550.69439188854,1636.65514430526,1744.81911359248,1852.40156078825,2010.44405107512,2074.50325966266,2108.03659624576,2137.95259054416,2146.23910361788,2142.77574625853,2172.12156228227,2189.98674307728,2214.34994074541,2236.44577524157,2212.59921301229,2218.20808851246,2201.48228784277,2198.19559347362,2204.99385667393,2207.5272243656
212,"DMA","Dominica",811.718200588694,839.894311170165,850.129517823261,869.262921819712,891.696799775536,909.507414735315,928.639427585536,939.355471315212,948.942219614371,969.967265511443,968.054541613162,957.155476921074,952.290273131526,947.267223891052,929.726900079769,912.967132658211,913.459853650487,916.699456570269,916.441419348834,923.736498819332,937.118717990379,964.069594141871,1002.82647814754,1036.7491267243,1061.51754214669,1071.30200117816,1038.99283450052,1013.60493061954,1022.79753222326,1044.68717223083
214,"DOM","Dominican Republic",501.510410362924,489.775826615883,479.818712921017,486.596760643581,487.211707585011,499.094299953703,522.8803450947,559.015599541027,593.108597113871,623.548487061081,641.092015475532,665.904243578135,698.403223188104,755.823184377448,826.231617160112,870.835527586143,904.556917960875,920.001057877706,917.730524285406,924.631440817965,934.294528165312,968.123566580112,1047.39092823092,1140.64791898757,1192.03457517519,1233.49416817062,1230.991745377,1199.36945744223,1178.84087197737,1167.14735322176
218,"ECU","Ecuador",865.022921481254,889.970053808284,860.950691184465,830.42143334606,813.891333003598,796.815858267654,807.98034069585,771.802692340418,778.186168122714,775.782734564992,770.957201542128,754.635488374596,813.051477173522,841.106983480654,858.443406495029,886.945512495451,901.871507078985,915.284510890861,924.237123437493,914.522434877853,907.18652985879,870.740162457681,868.375366486159,855.216127844375,838.725992265293,825.344302363024,800.931897255179,775.960185901593,771.777225256131,783.848019138814
818,"EGY","Egypt",5343.87806024193,5359.13388749626,5318.83680777215,5396.29471760692,5388.86298027901,5228.4495247445,5067.88246978576,5007.65862769798,4904.30956296614,4819.67871355834,4609.58688697647,4713.04800728462,4757.5426835221,4837.82357185717,4771.49352617929,4682.76002977136,4671.45173791869,4618.94561665062,4643.85385906048,4693.06999936147,4649.4621335451,4540.24309300159,4516.73890339122,4330.93026570912,4272.07043215034,4388.48175885978,4248.82835421321,4089.56582170317,4034.41284413352,3993.2242088199
222,"SLV","El Salvador",629.187580902648,617.849935259407,629.415880065757,640.065169025124,647.070547477415,633.633589426558,639.36958432513,683.335645228933,757.855316256633,744.748206072001,750.058146594515,730.342282892344,693.016884540864,697.468143531542,710.1442219714,710.99068737588,715.105543717265,704.85431216743,690.757584060463,729.016814581645,694.610789215957,731.102945237637,723.444489514587,781.712566305432,855.96228630874,866.149020793176,844.876051743255,823.452977584561,816.139721999093,822.204702218921
226,"GNQ","Equatorial Guinea",708.623786938005,702.036590250107,701.703553996646,713.527158723751,730.153169594735,754.51503859576,808.553514116844,866.576055403315,958.407465379238,1052.29293336835,1118.07545796017,1133.39525226595,1152.41362090807,1206.7447459414,1273.5872937016,1346.80742224104,1415.60760741193,1478.88963043669,1540.72469052112,1609.38529801705,1688.33987436799,1840.4261147703,1977.39121501121,2056.95711134459,2116.01492910371,2160.85868575768,2125.36395508191,2070.1650592444,2087.1795583086,2134.16912108014
232,"ERI","Eritrea",866.406654002814,863.191465554929,846.548197401769,853.256149373447,877.416449791266,922.966518570312,958.857922409578,1016.52757581506,1072.29045290901,1130.1600743271,1153.54536718286,1145.77655292498,1159.74616752244,1160.93257741093,1180.15517692764,1183.05994316154,1184.46580244951,1185.87491956978,1190.58035681675,1186.86492586573,1193.882009331,1197.28278925207,1208.51691107195,1227.75569044231,1245.07211878364,1261.64534787054,1292.52643345194,1323.54392784441,1354.60575783443,1386.75811837709
233,"EST","Estonia",838.640395245506,856.76507791287,841.149301074674,895.362039758198,953.899761692237,886.557091425778,748.227735604486,708.035854655688,704.776046618133,638.266868278045,607.113750736412,606.650650032004,568.917511473313,534.595124851785,506.405313845148,475.637202131349,457.792493437353,448.527915200457,403.468777496416,371.856488588308,332.671825139131,314.720295063431,282.898923497982,236.239473116362,206.96990433647,173.283037772511,148.281191104023,132.538355940937,132.728320435806,137.910809255032
748,"SWZ","Eswatini",989.069792998248,1024.37468822626,1046.12709853773,1061.15182448762,1092.77882489094,1139.795094791,1191.83785413605,1220.2650217541,1276.20643788885,1336.74809541876,1425.41339574997,1502.2342495113,1569.28131967548,1623.77215630247,1674.29754622757,1714.65477856954,1729.07316300524,1765.30527223519,1807.30031829961,1837.74306696083,1822.31899183963,1782.59715805192,1769.84210764339,1747.63645791471,1722.5148495002,1704.90195945941,1692.96595166528,1688.88651479262,1692.03900435216,1701.30578114779
231,"ETH","Ethiopia",420.615911081953,409.856172457143,403.964345543302,394.044011072369,386.213049792014,380.06816201856,375.562553866799,379.278344039144,387.014549531538,393.698188917608,391.80138585701,384.358101866189,378.549308836801,373.201620989668,369.084494079046,371.11403767658,376.576987462407,389.815985964551,405.573572006262,419.554944307979,428.247154813959,438.732947005998,447.013625966125,453.967079016798,467.042624804309,474.220469739136,481.042167870311,491.788254794038,501.666920895411,510.725517194154
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",640.901752291016,650.958763859726,664.777546304656,693.531372816141,725.114061359165,761.154138664967,832.848160195497,936.255274687549,1019.14676666226,1169.03856822816,1251.0436421407,1234.55265628696,1215.01534731523,1237.85378040683,1201.16113377322,1218.70659225148,1229.63181411048,1239.81425122355,1244.44535667942,1207.17028726681,1205.73491630157,1206.11583259851,1206.96353136912,1208.53392127638,1217.1909243757,1227.75135169324,1262.50433841064,1297.55439258626,1308.48383325252,1312.77694724617
246,"FIN","Finland",445.687195293048,416.976171060593,392.648187207628,367.169040492048,337.682427707589,321.548214259153,301.994992111067,286.160925534326,269.6494869518,253.578140327068,238.916449770923,222.648773373618,210.653633488619,200.523876634028,192.111665874157,183.201228624353,175.11481075452,172.756718013126,169.271694870509,165.716893409297,160.644883033063,148.889788295281,131.122324207514,110.233492605206,91.9803124795183,77.7116274045462,69.0531348307663,64.5964441485023,66.9909402376298,75.4754556479834
250,"FRA","France",594.857039207366,574.350821098136,552.287218767681,535.727209268461,515.445546583339,502.953956206271,491.923743664347,476.588464295945,471.446740066627,459.727638192813,444.922646886145,433.419699082103,419.731755109824,405.511301383467,380.118382222533,370.401612512316,361.58477010209,355.930328583914,354.001190858234,352.538254607398,345.930397245068,333.612768033756,316.115102590283,294.465089304006,270.610954664255,257.855998311263,234.941368395092,224.85010894369,221.842256182169,221.070780134883
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",1396.1467041136,1447.63409518358,1509.70150210645,1568.83154166068,1654.65959342529,1755.62843462706,1846.96262565401,1927.41762334693,2014.15353082849,2088.2609724496,2165.3333647457,2202.17574076945,2195.82025716847,2229.86868523636,2250.91195412164,2257.32811669354,2290.49452374304,2314.06108537848,2356.85873225567,2364.18270159518,2349.22953199405,2380.42508804105,2398.18559643003,2412.65882276598,2432.16412644777,2428.12477737486,2327.22780127467,2232.59785441219,2219.37585792185,2249.48590014308
270,"GMB","Gambia",724.187538315382,738.358775103359,758.843071633008,750.144807878283,752.557421028073,803.874759045472,776.689664083037,794.282330461995,828.143936499039,871.512699038312,844.511718065805,839.106676286092,853.227108266859,876.733335631081,947.424992798524,968.319158230764,964.381557350552,975.903930438309,962.4372689237,981.609105141517,988.810767126128,960.168384659909,1006.86627220432,1065.32437927671,1161.2898733442,1167.09591201115,1228.33471970465,1284.9717890729,1270.56941550398,1257.20957842175
268,"GEO","Georgia",1976.58888435422,2018.87189774482,2060.36818288109,2010.04163211811,2029.18405701966,1889.15159659105,1778.14124430612,1739.52075018552,1710.92603511889,1676.07940215556,1660.76826006335,1631.42740528308,1645.77136835341,1610.92200937294,1577.76685012084,1529.21588544446,1492.57876622303,1466.07778877414,1474.98065687607,1495.57374104333,1464.03289147102,1413.45140969214,1347.00752797763,1294.3389586277,1262.33278838271,1251.24493715622,1289.68552073204,1291.28676966984,1295.18503228267,1294.57177535602
276,"DEU","Germany",1093.39660808127,1052.78084738486,1003.05393801605,968.012753429718,923.859235614452,879.136567406303,834.329120291063,784.088608603123,733.37053823272,689.174028599271,649.694532774264,616.416177616548,592.538019337306,569.972427404411,536.904090203603,517.193767465448,506.542949651055,505.781160784683,507.614123898401,509.912458043668,503.825592816902,485.714578578794,456.970801237672,428.908121043978,392.996333496656,375.48551576862,353.720544396964,338.279057448235,335.387659756336,334.522656046996
288,"GHA","Ghana",1318.11092977297,1287.8283757618,1269.8961847402,1251.49305928707,1243.04282564621,1241.06965708959,1286.44346305251,1392.47270291063,1493.33979316822,1591.25664591223,1645.64096706361,1669.2637839677,1688.5412033143,1706.68295984306,1720.1196286762,1739.44189057153,1768.3743677194,1800.58630995743,1806.76197388976,1832.56973022548,1861.15169426458,1920.39642768282,1995.31413978522,2085.38252298647,2169.48812014009,2232.21279828431,2244.08103680609,2240.56639392529,2190.30750019064,2172.54656272723
300,"GRC","Greece",1016.42855590728,1002.56933805599,994.31786541127,975.00477108303,967.2863928189,964.078724367339,959.368549994664,951.737635581309,960.456801388179,962.194162344204,947.162522248082,922.315543633708,894.301579576698,868.566639782221,844.112577606206,818.020351163625,798.661778435733,805.08537107487,780.782705913503,771.811901067079,750.375211831782,735.094926892972,707.984864402872,660.830773621101,618.626370868653,590.053037522196,553.041466704043,527.727857996617,525.494645890488,523.76557720241
304,"GRL","Greenland",587.934564836124,578.610538651735,568.473934275195,580.422481857853,571.889194455154,561.855685852461,542.915990190017,520.009139156753,491.554489048128,472.212910921886,451.566923850745,434.927973533625,420.955408282871,398.957702271794,371.958979223803,359.100386995825,342.299655154631,322.961532112438,302.760193227908,285.180429169593,272.805983175132,266.948300623567,264.076977777721,262.908333345763,260.44020713457,258.552353676875,267.183441301035,275.651136139008,271.861519362425,261.952958936027
308,"GRD","Grenada",1165.12375343071,1219.40313628518,1282.30638106301,1352.46936722617,1384.79247673911,1391.80899234483,1377.71043546741,1385.59913146679,1392.28625436016,1411.36798948848,1399.92650895839,1384.97297095688,1364.38348702622,1337.19238775515,1319.52682863714,1285.02306746948,1261.72611847262,1259.0613941763,1272.95874212079,1282.45058905896,1292.81511540488,1306.25864011176,1298.37581622729,1334.23565935219,1363.40678156536,1366.13644066089,1362.18976334746,1315.17890438111,1310.19096786013,1319.89483391991
320,"GTM","Guatemala",977.101886917689,1051.73251964416,1115.11589430542,1162.38909188222,1171.61068123559,1108.14287124815,1090.03228433592,1129.02490932579,1156.40687561463,1133.93603969515,1120.77179042893,1080.63191658465,1015.23515150324,969.710668574594,939.149006250792,902.454950278838,881.465322982559,859.375299189213,852.572687259276,865.513205407578,885.246455282675,909.323308667315,938.277629761014,971.793806763127,994.557345140397,998.874586788532,967.555202790985,918.93244642345,913.834433524106,933.778247187918
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",849.184340292626,832.138754075483,829.25267577252,820.572203009071,816.04749320329,819.817845427143,824.490805924845,830.36893771952,857.048540830242,887.379055575778,895.13564984667,888.346453487942,883.089092935526,888.364003907991,910.608469865746,914.821760861851,924.631614372833,931.851297299091,933.982727094066,929.515763870349,949.275963557864,963.694912933897,986.656704295833,1027.98765391868,1061.51065694703,1082.16607002715,1080.63907289295,1064.63403536972,1062.53503450549,1052.73950376376
624,"GNB","Guinea-Bissau",967.148735987742,969.459863233538,975.573057543946,984.081703491432,995.180918380939,1004.60758857536,1025.38012628857,1037.99595697175,1055.20543383113,1072.5088092775,1086.67263264994,1092.6768996174,1095.50849564418,1095.92276424285,1103.96369320639,1096.66520169348,1097.88805145261,1134.02773312922,1143.60098638193,1151.06002721276,1161.25820446154,1173.10156775278,1191.01940253742,1231.66048379179,1268.82693994608,1291.25248500082,1319.65684343421,1318.65328587643,1282.80177570717,1251.36170189532
328,"GUY","Guyana",2257.75501807752,2169.06809328837,2122.95366953879,2226.29526167474,2209.84151613433,2261.43721304808,2347.59361523735,2422.3194422002,2480.39642349068,2440.81573545745,2495.2663920651,2443.71354133943,2409.51654881611,2321.48938337962,2260.03951936095,2192.60955221714,2123.0126829154,2128.06122353981,2130.42277767137,2091.74295974929,2096.62469989497,2094.3663276014,2137.3050947347,2144.23067305441,2199.91343986203,2179.29012432235,2110.80541661488,2031.92287050083,1982.69541714799,1925.22487968457
332,"HTI","Haiti",575.083298129785,555.558197165869,548.079918008901,543.490315927805,538.199800958436,537.482176624497,542.495538754006,566.360385699032,580.118483994642,603.074159230876,611.994689344306,615.682437606043,614.595614706621,617.232806165484,621.116060069752,624.821620827858,626.79437567704,628.378509685643,629.993326994016,632.376474979918,643.513912075448,669.154233948257,690.677349317377,721.04992960345,746.226455448584,757.162866114083,752.476929709832,741.054525044268,741.466883382141,748.223289446114
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",439.559713708444,432.894089893856,444.865100240702,445.030725609539,448.781098113194,478.103433786559,503.627707112913,531.060396298906,562.984078675862,592.001696387771,609.648279514047,622.277073907935,631.560798538464,640.362525723791,648.9490175537,651.170428884344,650.173999625933,646.840000848476,646.506462803231,654.062335489667,671.55794818669,713.554010494655,779.066324037307,812.216099569902,832.762017512122,834.754725533588,784.879428782771,736.3693938343,736.785598171283,763.249198129002
344,"HKG","Hong Kong",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
348,"HUN","Hungary",2044.85706684532,2054.21606597254,2125.36532636007,2122.61406947332,2058.68167446899,1998.31620212561,1862.92140474016,1789.17931079607,1753.31493674033,1691.50023371345,1564.16673122864,1482.71809413064,1456.88877357863,1438.81127678694,1394.3133915243,1392.26553082022,1337.46876130537,1327.56775158052,1269.29899312231,1252.11987347567,1209.24025755822,1164.29535447275,1116.3326909207,1044.17456273211,1004.31346307998,987.535785321742,918.179729414631,897.501011401178,896.840041893259,877.098563955166
352,"ISL","Iceland",245.71607689008,234.995330310666,224.68884057767,213.752097304491,206.612487164766,202.47223181418,196.586486627021,190.053835887907,183.225930113672,175.360479611108,166.567439127966,160.009537324244,153.704325570068,145.325183483315,137.954701726801,132.806407755809,129.094151231275,125.613778969299,121.33266089346,117.413380737525,113.050882524537,106.683622851823,99.4986525975699,90.4498647285612,81.4920028479489,77.2734989604975,74.9486994713292,74.4807314180739,73.3758444562961,71.683676221536
