"code","iso","country","HAD.raw.1990","HAD.raw.1991","HAD.raw.1992","HAD.raw.1993","HAD.raw.1994","HAD.raw.1995","HAD.raw.1996","HAD.raw.1997","HAD.raw.1998","HAD.raw.1999","HAD.raw.2000","HAD.raw.2001","HAD.raw.2002","HAD.raw.2003","HAD.raw.2004","HAD.raw.2005","HAD.raw.2006","HAD.raw.2007","HAD.raw.2008","HAD.raw.2009","HAD.raw.2010","HAD.raw.2011","HAD.raw.2012","HAD.raw.2013","HAD.raw.2014","HAD.raw.2015","HAD.raw.2016","HAD.raw.2017","HAD.raw.2018","HAD.raw.2019"
454,"MWI","Malawi",8701.07532580835,8614.86950312555,8640.5106802081,8780.87506982641,8912.88365835734,8760.47606823026,8534.5906356322,8375.12965946387,8268.22604164622,8245.17689949147,8077.52544673134,7774.37872919524,7530.50466771289,7318.7619987515,7065.35062298585,6765.04561280497,6529.70636064011,6248.64606757755,5988.72372445347,5852.53481532186,5747.21300479319,5608.30243532363,5409.13260956577,5203.37489289133,5021.20855379956,4880.21138603741,4755.03002714241,4587.56872944726,4500.53900137178,4385.69926971572
458,"MYS","Malaysia",257.909689985788,225.461764675356,199.377504799011,177.219079974522,158.329560325572,143.729694981046,121.912459837785,103.732979387032,86.9138323151838,80.1842776929911,66.0980825418596,57.9129964702097,51.9758718547763,47.3204146732667,42.3289631299498,38.4913402163246,35.3450931246496,32.8248467945079,31.3793597399043,29.9287281969141,27.4515245709636,25.35360680621,23.5779487017344,21.306173648534,20.2281652905061,18.8954402348345,17.4364011145278,16.0019046808955,14.6018331126062,13.4393366606612
462,"MDV","Maldives",4465.28144837043,4306.50131371418,4112.4954713441,3847.66619343569,3526.26987737144,3303.96026773805,3127.55877911905,2888.10397853005,2552.09156202956,2254.70815765325,2052.49596772315,1842.2634406579,1567.62152706413,1349.96353564118,1154.96902617751,1002.90437440662,877.802510583058,765.612742946013,672.304317326805,596.514969185063,533.045740669675,475.101993350981,426.00100438802,383.08109189017,346.498483544794,315.417698738346,296.37795462602,277.034872832509,253.777159899991,229.362615537115
466,"MLI","Mali",9297.00707591328,9153.16894017817,9051.39444985502,8896.87021820674,8742.74002139195,8619.02003232418,8519.92986910355,8419.70276007363,8274.77448915083,8109.77563795524,7945.38068178441,7681.03096722688,7627.06358410479,7409.99245084868,7213.08008585268,7046.43768012407,6920.35850739704,6793.62036156969,6760.72932449888,6686.76504176431,6548.62743321864,6360.14031855447,6217.54073340612,6087.38196237751,5980.61455504505,5945.21395355385,6010.88170513449,5944.04316402161,5779.58950860968,5594.78712013242
470,"MLT","Malta",22.9353553705305,20.5381701954913,18.5016885498418,16.3919989418683,14.5305591903953,13.0731528559762,11.7912542785115,10.529590135574,9.25523786354368,8.31218741534755,7.38961088467096,6.60521148627235,5.92722812500161,5.27836686020958,4.65064007082598,4.1091151926663,3.63052595488978,3.22883010686043,2.87773227020055,2.54916442727362,2.28971338318647,2.11576518882428,1.95405862408983,1.80199420981486,1.66835581014675,1.53052346728973,1.42447487884197,1.31401986483872,1.21194847203115,1.11433350663146
584,"MHL","Marshall Islands",4800.57134066086,4684.61306952677,4561.92724627624,4382.60066744328,4069.55190289823,3972.91411215307,3868.43284370889,3793.32206032266,3703.82750310107,3622.34909843927,3550.56971439849,3452.30922281982,3350.28069257135,3259.42677786058,3183.62471321487,3150.13166312716,3160.17392425596,3152.31298989435,3148.36668591994,3135.14005526655,3108.77053506536,3054.55217784468,2967.43023894221,2862.31843884363,2752.33505303561,2648.5173255549,2527.49736896914,2395.03808734773,2270.01824454958,2142.88162158893
478,"MRT","Mauritania",6013.40189774068,5759.32049172555,5552.26303465468,5343.98910053574,5051.14800919591,4800.09114735186,4671.00329652519,4491.29812502496,4357.80779889398,4151.08012130724,4041.71320973844,3950.41167369976,3838.65916586855,3680.11082970189,3595.99650270019,3502.38743180588,3396.99249035613,3196.27012644582,3015.24158024314,2934.53813722915,2768.86527145282,2643.1187554718,2560.06373899767,2420.75900282004,2228.91862175196,2108.255251814,1951.68441074291,1857.75311086656,1738.30717218392,1638.42061340443
480,"MUS","Mauritius",603.828521745479,529.747277590999,487.175305127934,447.895855165922,404.729295638929,365.754932440237,333.788554669681,309.487313051586,269.797608479078,244.309403676471,216.126465506593,190.840631798293,170.333799572403,150.659197967646,131.315581802853,117.113138690312,104.754167192697,93.4459871740727,85.9250207137087,78.2986903849706,69.9078370149874,62.0114719768526,55.8562611122319,48.7439227964799,44.4195238852422,39.851081696194,35.9725278936182,33.0225864754543,30.0758891206575,27.0096410574677
484,"MEX","Mexico",1072.30514285969,1006.54882240974,954.865120790247,904.508856213125,848.231226623885,802.531311495197,748.903467932312,697.540277818513,644.981626673463,590.979170241252,546.121755569461,516.293991857867,500.037667191706,483.184720011523,460.199510516108,447.733255279992,428.687873079039,414.900983588297,412.653919239181,408.306264672165,389.032155515036,371.721070901917,357.59584467596,349.289521325535,335.356928221247,321.135507731167,307.090234676674,294.363303613829,274.276991269361,254.081624983354
583,"FSM","Micronesia",6303.55427748369,6102.47882339059,5892.69070757345,5682.36662118374,5495.18095577156,5289.79355386138,5119.82670443893,4951.87521144785,4783.20380496089,4618.10886067395,4457.3024517015,4279.50334937211,4115.32992216833,3950.41517095449,3812.32127540082,3675.93245445728,3537.46033445236,3406.05606641842,3283.80923039766,3160.16498903849,3035.95117270527,2915.76275460803,2796.37861609144,2683.97998795831,2580.882314215,2478.38312300927,2372.59933836664,2265.83475617679,2161.88150707082,2056.3075577012
